alpha,min_area,open_size,close_size,AP50
2.5,1500,5,5,0.15551773401172456
2.5,1500,5,7,0.1809908290733905
2.5,1500,5,9,0.1934791709498358
2.5,1800,1,5,0.1221268539151926
2.5,1800,1,7,0.10203585980379824
2.5,1800,1,9,0.07449073163471984
2.5,1800,3,5,0.21495717430987474
2.5,1800,3,7,0.22193844174945151
2.5,1800,3,9,0.2096245000258544
2.5,1800,5,5,0.15266903732149448
2.5,1800,5,7,0.17936313803596232
2.5,1800,5,9,0.1895867251680589
2.5,2000,1,5,0.11842138083471512
2.5,2000,1,7,0.10129527857542558
2.5,2000,1,9,0.07456391855766162
2.5,2000,3,5,0.20958406479697553
2.5,2000,3,7,0.21528071614931427
2.5,2000,3,9,0.2032416961860085
2.5,2000,5,5,0.15429357773659216
2.5,2000,5,7,0.1797847117288985
2.5,2000,5,9,0.18984611584796562
2.5,2200,1,5,0.11798583189524722
2.5,2200,1,7,0.0998537433165176
2.5,2200,1,9,0.07417119722515661
2.5,2200,3,5,0.20933445986469884
2.5,2200,3,7,0.21051587684550638
2.5,2200,3,9,0.20279293545066046
2.5,2200,5,5,0.15536693323678644
2.5,2200,5,7,0.1794354122276074
2.5,2200,5,9,0.1882792393445513
2.5,2500,1,5,0.11423758938817945
2.5,2500,1,7,0.0988070855097956
2.5,2500,1,9,0.07148931062604531
2.5,2500,3,5,0.20677793007564582
2.5,2500,3,7,0.20437991420346147
2.5,2500,3,9,0.19745554288864534
2.5,2500,5,5,0.15923904018010848
2.5,2500,5,7,0.18073420855253888
2.5,2500,5,9,0.19129578217005885
3.0,1500,1,5,0.16964964673127475
3.0,1500,1,7,0.15160371110879076
3.0,1500,1,9,0.1446760026011102
3.0,1500,3,5,0.25557568471113923
3.0,1500,3,7,0.27911152572394876
3.0,1500,3,9,0.279073760179441
3.0,1500,5,5,0.13944674069060525
3.0,1500,5,7,0.17260830793004303
3.0,1500,5,9,0.1923621164754758
3.0,1800,1,5,0.1697664649811266
3.0,1800,1,7,0.14963805355972618
3.0,1800,1,9,0.14551501028273972
3.0,1800,3,5,0.25229478408348044
3.0,1800,3,7,0.2685976657373854
3.0,1800,3,9,0.2714162748067305
3.0,1800,5,5,0.14146368199724121
3.0,1800,5,7,0.17383850370018245
3.0,1800,5,9,0.19433074889656696
3.0,2000,1,5,0.16715481184464256
3.0,2000,1,7,0.14821007295209768
3.0,2000,1,9,0.13936041825800866
3.0,2000,3,5,0.250051951277391
3.0,2000,3,7,0.26726547241546805
3.0,2000,3,9,0.2681366622873094
3.0,2000,5,5,0.14419113399925593
3.0,2000,5,7,0.1754940862510988
3.0,2000,5,9,0.19772385733258954
3.0,2200,1,5,0.16384753503412638
