alpha,rho,ap50
3,0.75,0.06453921757070558
3,0.5,0.1379012132463426
3,0.25,0.3974638328155962
3,0.1,0.606324556628607
3,0.01,0.6418629536655793
3,0.001,0.5221960942553832
3,0.0001,0.4248835897775394
3,1e-05,0.4162563740150236
