alpha,rho,ap50
3,0.75,0.048020434044284445
3,0.5,0.12781451712628952
3,0.25,0.3843339793849993
3,0.1,0.6244460223815363
3,0.01,0.6469874767139029
3,0.001,0.5450604918835424
3,0.0001,0.44690448684268996
3,1e-05,0.4386799050983033
